0,552,254,842,254,842,281,552,281,declaration
1,854,254,906,254,906,281,854,281,of
2,917,254,1146,254,1146,281,917,281,insurance
3,250,411,308,411,308,434,250,434,this
4,318,411,423,411,423,434,318,434,certifies
5,434,411,482,411,482,434,434,434,that
6,492,411,587,411,587,435,492,435,state
7,595,411,685,411,685,434,595,434,farm
8,692,412,764,412,764,434,692,434,fire
9,808,411,968,411,968,435,808,435,casualty
10,977,411,1136,411,1136,438,977,438,company
11,1147,411,1328,411,1328,441,1147,441,bloomington
12,1340,412,1369,412,1369,434,1340,434,il
13,251,449,343,449,343,472,251,472,insures
14,353,449,392,449,392,472,353,472,the
15,403,449,530,449,530,479,403,479,following
16,540,449,708,449,708,479,540,479,policyholder
17,717,449,755,449,755,472,717,472,for
18,764,449,803,449,803,472,764,472,the
19,813,457,944,457,944,479,813,479,coverages
20,955,449,1076,449,1076,472,955,472,indicated
21,1085,449,1172,449,1172,472,1085,472,below
22,251,566,420,566,420,595,251,595,policyholder
23,429,574,507,574,507,589,429,589,name
24,591,567,750,567,750,589,591,589,venkata
25,794,566,883,566,883,590,794,590,usha
26,893,567,1068,567,1068,589,893,589,dammala
27,250,606,420,606,420,635,250,635,policyholder
28,429,606,535,606,535,629,429,629,address
29,594,606,655,606,655,630,594,630,1019
30,666,606,803,606,803,629,666,629,bristol
31,813,606,854,606,854,630,813,630,ct
32,877,606,965,606,965,630,877,630,johns
33,976,606,1084,606,1084,629,976,629,creek
34,1094,606,1140,606,1140,629,1094,629,ga
35,1151,606,1231,606,1231,630,1151,630,30022
36,250,725,334,725,334,758,250,758,policy
37,344,725,451,725,451,748,344,748,number
38,592,725,789,725,789,749,592,749,81-gb-c127-3
39,250,844,334,844,334,874,250,874,policy
40,344,844,435,844,435,872,344,872,period
41,591,844,741,844,741,868,591,868,08/01/2020
42,776,844,923,844,923,868,776,868,08/01/2021
43,251,919,397,919,397,957,251,957,coverages
44,250,963,422,963,422,986,250,986,personal
45,431,963,600,963,600,986,431,986,property
46,679,963,766,963,766,990,679,990,15200
47,250,1003,329,1003,329,1027,250,1027,loss
48,341,1003,382,1003,382,1027,341,1027,of
49,391,1003,453,1003,453,1027,391,1027,use
50,676,1003,749,1003,749,1031,676,1031,6080
51,250,1042,422,1042,422,1066,250,1066,personal
52,431,1043,595,1043,595,1065,431,1065,liability
53,679,1042,782,1042,782,1069,679,1069,100000
54,250,1082,401,1082,401,1106,250,1106,medical
55,410,1082,587,1082,587,1105,410,1105,payments
56,599,1082,641,1082,641,1105,599,1105,to
57,679,1082,741,1082,741,1106,679,1106,1000
58,251,1120,377,1120,377,1144,251,1144,others
59,250,1156,458,1156,458,1195,250,1195,deductible
60,679,1160,741,1160,741,1184,679,1184,1000
61,250,1279,328,1279,328,1301,250,1301,name
62,372,1278,480,1278,480,1301,372,1301,address
63,490,1278,519,1278,519,1301,490,1301,of
64,590,1278,676,1278,676,1301,590,1301,arium
65,686,1278,760,1278,760,1302,686,1302,johns
66,771,1278,849,1278,849,1301,771,1301,creek
67,250,1316,392,1316,392,1339,250,1339,additional
68,402,1316,500,1316,500,1339,402,1339,insured
69,591,1316,631,1316,631,1340,591,1340,po
70,642,1317,695,1317,695,1339,642,1339,box
71,706,1316,770,1316,770,1340,706,1340,3976
72,590,1355,694,1355,694,1388,590,1388,albany
73,705,1356,752,1356,752,1378,705,1378,ny
74,765,1355,842,1355,842,1378,765,1378,12203
75,251,1549,376,1549,376,1577,251,1577,signature
76,386,1549,416,1549,416,1572,386,1572,of
77,422,1549,571,1549,571,1572,422,1572,authorized
78,581,1549,777,1549,777,1577,581,1577,representative
79,815,1549,887,1549,887,1572,815,1572,trina
80,896,1549,1026,1549,1026,1576,896,1576,lankford
81,1037,1549,1113,1549,1113,1573,1037,1573,lsa5
82,250,1589,312,1589,312,1612,250,1612,title
83,343,1589,455,1589,455,1612,343,1612,agent
84,677,1590,752,1590,752,1622,677,1622,date
85,816,1589,966,1589,966,1613,816,1613,09/21/2020
